episode,timestep,reward,ep_length,elapsed_s,algo
164,9691,161.392,63,29.1,a2c
165,9751,161.566,60,29.3,a2c
166,9814,161.652,63,29.4,a2c
167,9858,-77.464,44,29.6,a2c
168,9903,-89.21,45,29.7,a2c
169,9948,-88.626,45,29.8,a2c
170,9986,-89.531,38,29.9,a2c
171,10029,-88.918,43,30.0,a2c
172,10089,161.66,60,30.1,a2c
173,10130,-88.279,41,30.2,a2c
174,10190,161.981,60,30.4,a2c
175,10266,-91.534,76,30.6,a2c
176,10325,161.036,59,30.7,a2c
177,10368,-88.313,43,30.8,a2c
178,10410,-88.83,42,30.9,a2c
179,10472,172.099,62,31.2,a2c
180,10537,172.618,65,31.4,a2c
181,10606,183.454,69,31.6,a2c
182,10652,-78.146,46,31.8,a2c
183,10698,-77.756,46,31.9,a2c
184,10761,183.294,63,32.2,a2c
185,10832,172.892,71,32.4,a2c
186,10896,161.634,64,32.6,a2c
187,10939,-88.664,43,32.8,a2c
188,11013,173.051,74,33.0,a2c
189,11079,172.302,66,33.3,a2c
190,11124,-77.701,45,33.5,a2c
191,11169,-88.026,45,33.6,a2c
192,11242,184.36,73,33.9,a2c
193,11307,182.713,65,34.0,a2c
194,11348,-88.663,41,34.1,a2c
195,11390,-88.964,42,34.3,a2c
196,11451,172.524,61,34.4,a2c
197,11512,160.932,61,34.6,a2c
198,11561,-77.389,49,34.8,a2c
199,11626,172.174,65,35.0,a2c
200,11696,182.841,70,35.1,a2c
201,11722,-89.098,26,35.2,a2c
202,11750,-88.774,28,35.3,a2c
203,11810,161.369,60,35.5,a2c
204,11872,172.39,62,35.6,a2c
205,11946,-91.434,74,35.8,a2c
206,11971,-88.645,25,35.9,a2c
207,12032,161.726,61,36.1,a2c
208,12094,172.084,62,36.2,a2c
209,12119,-88.844,25,36.3,a2c
210,12180,172.159,61,36.6,a2c
211,12222,-89.014,42,36.7,a2c
212,12284,-77.082,62,36.9,a2c
213,12330,-78.212,46,37.0,a2c
214,12394,171.956,64,37.2,a2c
215,12467,172.659,73,37.4,a2c
216,12514,-77.222,47,37.5,a2c
217,12570,-89.985,56,37.7,a2c
218,12639,184.115,69,37.8,a2c
219,12669,-88.774,30,37.9,a2c
220,12746,184.054,77,38.1,a2c
221,12792,-88.619,46,38.2,a2c
222,12828,-78.27,36,38.3,a2c
223,12880,-77.949,52,38.5,a2c
224,12949,183.659,69,38.6,a2c
225,13024,172.691,75,38.8,a2c
226,13088,183.218,64,39.0,a2c
227,13138,-77.206,50,39.2,a2c
228,13207,172.333,69,39.4,a2c
229,13274,183.471,67,39.6,a2c
230,13307,-78.468,33,39.7,a2c
231,13340,-88.788,33,39.8,a2c
232,13410,172.594,70,40.0,a2c
233,13441,-78.21,31,40.1,a2c
234,13486,-77.404,45,40.2,a2c
235,13550,183.242,64,40.4,a2c
236,13596,-88.389,46,40.5,a2c
237,13656,162.559,60,40.7,a2c
238,13725,183.183,69,40.9,a2c
239,13792,183.135,67,41.1,a2c
240,13856,172.534,64,41.3,a2c
241,13885,-78.334,29,41.4,a2c
242,13934,-77.521,49,41.5,a2c
243,13960,-88.755,26,41.6,a2c
244,14000,-89.204,40,41.8,a2c
245,14045,-78.383,45,41.9,a2c
246,14108,172.563,63,42.1,a2c
247,14173,172.487,65,42.3,a2c
248,14212,-89.329,39,42.5,a2c
249,14275,182.964,63,42.7,a2c
250,14302,-89.048,27,42.8,a2c
251,14346,-77.918,44,43.0,a2c
252,14408,172.474,62,43.2,a2c
253,14440,-88.879,32,43.3,a2c
254,14469,-88.835,29,43.4,a2c
255,14512,-89.329,43,43.5,a2c
256,14576,183.328,64,43.7,a2c
257,14641,182.889,65,43.9,a2c
258,14706,182.983,65,44.1,a2c
259,14772,172.452,66,44.3,a2c
260,14837,183.434,65,44.9,a2c
261,14902,182.974,65,45.3,a2c
262,14928,-88.684,26,45.8,a2c
263,14990,172.613,62,46.1,a2c
264,15035,-88.979,45,46.5,a2c
265,15106,-90.735,71,47.0,a2c
266,15172,172.44,66,47.3,a2c
267,15235,182.882,63,47.6,a2c
268,15263,-88.785,28,48.4,a2c
269,15324,161.611,61,48.8,a2c
270,15385,182.882,61,49.2,a2c
271,15421,-88.923,36,49.4,a2c
272,15533,-92.914,112,49.8,a2c
273,15596,172.318,63,50.1,a2c
274,15659,172.524,63,50.4,a2c
275,15722,172.732,63,50.8,a2c
276,15785,172.484,63,51.2,a2c
277,15849,172.102,64,51.5,a2c
278,15912,172.524,63,51.8,a2c
279,15955,-88.662,43,52.0,a2c
280,16015,161.554,60,52.3,a2c
281,16077,171.757,62,52.6,a2c
282,16123,-77.39,46,52.8,a2c
283,16188,182.983,65,53.2,a2c
284,16224,-78.369,36,53.4,a2c
285,16290,184.203,66,53.6,a2c
286,16353,172.281,63,53.8,a2c
287,16415,172.474,62,54.1,a2c
288,16460,-77.228,45,54.4,a2c
289,16525,183.534,65,54.6,a2c
290,16590,172.496,65,55.0,a2c
291,16654,183.086,64,55.3,a2c
292,16716,172.474,62,55.5,a2c
293,16778,-79.791,62,55.8,a2c
294,16842,183.318,64,56.0,a2c
295,16908,172.446,66,56.3,a2c
296,16955,-88.834,47,56.4,a2c
297,16996,-88.463,41,56.5,a2c
298,17047,-77.658,51,56.7,a2c
299,17093,-77.404,46,56.8,a2c
300,17158,183.058,65,57.2,a2c
301,17227,182.972,69,57.4,a2c
302,17255,-88.685,28,57.5,a2c
303,17319,172.599,64,57.7,a2c
304,17355,-78.081,36,57.8,a2c
305,17385,-88.813,30,57.9,a2c
306,17450,182.789,65,58.1,a2c
307,17516,183.51,66,58.3,a2c
308,17551,-78.544,35,58.4,a2c
309,17614,183.159,63,58.6,a2c
310,17680,183.48,66,58.7,a2c
311,17744,182.986,64,59.0,a2c
312,17782,-78.711,38,59.2,a2c
313,17847,183.116,65,59.3,a2c
314,17888,-78.664,41,59.4,a2c
315,17938,-77.464,50,59.6,a2c
316,18003,172.413,65,59.8,a2c
317,18069,183.484,66,60.0,a2c
318,18135,172.962,66,60.2,a2c
319,18202,183.726,67,60.4,a2c
320,18269,172.912,67,60.6,a2c
321,18335,172.724,66,60.7,a2c
322,18381,-77.278,46,60.9,a2c
323,18449,183.242,68,61.2,a2c
324,18513,172.561,64,61.3,a2c
325,18576,172.616,63,61.5,a2c
326,18641,182.914,65,61.7,a2c
327,18704,182.743,63,61.9,a2c
328,18769,183.058,65,62.1,a2c
329,18800,-78.341,31,62.2,a2c
330,18844,-77.178,44,62.3,a2c
331,18874,-78.384,30,62.4,a2c
332,18937,172.613,63,62.6,a2c
333,18982,-77.366,45,62.7,a2c
334,19056,184.668,74,63.0,a2c
335,19099,-88.504,43,63.1,a2c
336,19165,183.168,66,63.3,a2c
337,19229,172.532,64,63.5,a2c
338,19292,172.616,63,63.7,a2c
339,19354,172.666,62,63.9,a2c
340,19417,172.482,63,64.1,a2c
341,19458,-88.413,41,64.2,a2c
342,19520,172.577,62,64.3,a2c
343,19584,183.218,64,64.5,a2c
344,19647,172.811,63,64.7,a2c
345,19709,172.534,62,64.9,a2c
346,19752,-78.047,43,65.1,a2c
347,19816,183.022,64,65.3,a2c
348,19881,162.358,65,65.4,a2c
349,19945,183.022,64,65.6,a2c
350,20009,172.563,64,65.8,a2c
351,20043,-78.338,34,65.9,a2c
352,20107,183.218,64,66.1,a2c
353,20172,182.983,65,66.3,a2c
354,20236,183.242,64,66.5,a2c
355,20264,-88.713,28,66.6,a2c
356,20309,-77.366,45,66.8,a2c
357,20354,-77.516,45,67.0,a2c
358,20383,-78.334,29,67.2,a2c
359,20447,183.484,64,67.4,a2c
360,20512,183.434,65,67.7,a2c
361,20576,182.901,64,67.9,a2c
362,20647,173.207,71,68.2,a2c
363,20711,182.901,64,68.4,a2c
364,20772,171.842,61,68.5,a2c
365,20837,183.679,65,68.7,a2c
366,20890,-77.11,53,68.9,a2c
367,20934,-77.152,44,69.1,a2c
368,20996,183.293,62,69.3,a2c
369,21065,183.561,69,69.5,a2c
370,21131,172.921,66,69.8,a2c
371,21164,-78.487,33,70.0,a2c
372,21229,183.826,65,70.2,a2c
373,21291,183.293,62,70.4,a2c
374,21355,183.242,64,70.6,a2c
375,21420,183.534,65,70.8,a2c
376,21494,183.96,74,71.1,a2c
377,21562,183.506,68,71.3,a2c
378,21629,183.331,67,71.5,a2c
379,21694,183.473,65,71.7,a2c
380,21760,183.042,66,72.0,a2c
381,21822,172.534,62,72.2,a2c
382,21885,172.256,63,72.3,a2c
383,21928,-77.216,43,72.5,a2c
384,21973,-77.366,45,72.6,a2c
385,22037,183.218,64,72.8,a2c
386,22102,183.192,65,73.0,a2c
387,22147,-77.316,45,73.2,a2c
388,22213,183.62,66,73.5,a2c
389,22278,184.051,65,73.7,a2c
390,22322,-77.316,44,73.9,a2c
391,22366,-77.266,44,74.0,a2c
392,22432,172.786,66,74.2,a2c
393,22477,-77.341,45,74.4,a2c
394,22542,184.025,65,74.6,a2c
395,22608,184.101,66,74.9,a2c
396,22673,183.534,65,75.3,a2c
397,22717,-77.316,44,75.4,a2c
398,22781,183.484,64,75.7,a2c
399,22845,183.242,64,75.9,a2c
400,22909,183.484,64,76.1,a2c
401,22973,183.484,64,76.3,a2c
402,23038,183.534,65,76.5,a2c
403,23103,183.534,65,76.6,a2c
404,23168,184.025,65,76.9,a2c
405,23232,183.484,64,77.1,a2c
406,23275,-77.216,43,77.3,a2c
407,23343,183.471,68,77.5,a2c
408,23408,183.621,65,77.8,a2c
409,23474,183.776,66,78.0,a2c
410,23539,183.434,65,78.2,a2c
411,23568,-78.303,29,78.5,a2c
412,23633,184.051,65,78.7,a2c
413,23677,-77.316,44,78.8,a2c
414,23745,182.962,68,79.1,a2c
415,23811,184.101,66,79.3,a2c
416,23875,183.242,64,79.5,a2c
417,23936,182.882,61,79.7,a2c
418,24000,183.484,64,79.9,a2c
419,24066,184.005,66,80.1,a2c
420,24108,-77.683,42,80.2,a2c
421,24170,182.968,62,80.4,a2c
422,24231,182.882,61,80.6,a2c
423,24293,172.534,62,80.7,a2c
424,24357,183.242,64,81.0,a2c
425,24402,-77.366,45,81.2,a2c
426,24447,-77.202,45,81.3,a2c
427,24508,182.882,61,81.5,a2c
428,24571,183.534,63,81.7,a2c
429,24614,-78.047,43,81.8,a2c
430,24677,183.534,63,82.0,a2c
431,24738,182.882,61,82.2,a2c
432,24779,-77.479,41,82.3,a2c
433,24843,183.318,64,82.4,a2c
434,24905,182.841,62,82.6,a2c
435,24970,184.051,65,82.8,a2c
436,25034,183.318,64,83.1,a2c
437,25096,172.532,62,83.3,a2c
438,25158,172.532,62,83.5,a2c
439,25201,-88.664,43,83.6,a2c
440,25265,183.484,64,83.8,a2c
441,25310,-77.366,45,83.9,a2c
442,25374,183.242,64,84.1,a2c
443,25417,-77.216,43,84.3,a2c
444,25461,-77.152,44,84.4,a2c
445,25505,-77.316,44,84.5,a2c
446,25547,-77.166,42,84.7,a2c
447,25610,183.534,63,84.8,a2c
448,25672,172.532,62,85.1,a2c
449,25735,183.534,63,85.3,a2c
450,25798,183.534,63,85.5,a2c
451,25860,172.532,62,85.7,a2c
452,25922,172.532,62,85.9,a2c
453,25984,172.474,62,86.1,a2c
454,26048,183.242,64,86.3,a2c
455,26112,184.101,64,86.5,a2c
456,26175,183.534,63,86.7,a2c
457,26237,172.532,62,86.8,a2c
458,26298,182.882,61,87.1,a2c
459,26359,161.875,61,87.3,a2c
460,26421,172.532,62,87.5,a2c
461,26464,-88.531,43,87.7,a2c
462,26525,172.39,61,87.9,a2c
463,26587,172.534,62,88.1,a2c
464,26651,183.242,64,88.3,a2c
465,26692,-77.558,41,88.4,a2c
466,26760,183.423,68,88.6,a2c
467,26821,182.882,61,88.8,a2c
468,26885,183.242,64,89.0,a2c
469,26948,172.318,63,89.3,a2c
470,27010,172.532,62,89.4,a2c
471,27071,172.39,61,89.6,a2c
472,27113,-88.964,42,89.7,a2c
473,27175,172.532,62,89.9,a2c
474,27216,-77.531,41,90.1,a2c
475,27280,183.584,64,90.3,a2c
476,27343,172.487,63,90.5,a2c
477,27404,172.39,61,90.7,a2c
478,27465,172.39,61,90.9,a2c
479,27527,172.532,62,91.2,a2c
480,27589,172.532,62,91.4,a2c
481,27650,172.39,61,91.5,a2c
482,27712,172.532,62,91.7,a2c
483,27774,172.532,62,91.9,a2c
484,27836,172.532,62,92.1,a2c
485,27897,172.39,61,92.3,a2c
486,27938,-88.413,41,92.4,a2c
487,27983,-89.064,45,92.5,a2c
488,28045,172.532,62,92.7,a2c
489,28106,172.39,61,92.9,a2c
490,28167,172.39,61,93.2,a2c
491,28229,172.532,62,93.3,a2c
492,28290,172.39,61,93.5,a2c
493,28351,172.39,61,93.7,a2c
494,28412,172.39,61,93.9,a2c
495,28473,172.39,61,94.1,a2c
496,28534,172.39,61,94.3,a2c
497,28576,-88.964,42,94.4,a2c
498,28637,172.39,61,94.6,a2c
499,28679,-88.964,42,94.7,a2c
500,28740,172.39,61,94.9,a2c
501,28802,172.532,62,95.2,a2c
502,28863,172.39,61,95.3,a2c
503,28924,172.39,61,95.5,a2c
504,28986,171.757,62,95.7,a2c
505,29010,-89.13,24,95.8,a2c
506,30210,-47.672,1200,99.4,a2c
507,31410,-47.733,1200,103.0,a2c
508,31471,172.39,61,103.2,a2c
509,31732,-100.723,261,104.0,a2c
510,31793,172.39,61,104.2,a2c
511,31854,172.39,61,104.4,a2c
512,31915,172.39,61,104.5,a2c
513,31946,-89.246,31,104.6,a2c
514,32009,172.424,63,104.8,a2c
515,32071,172.474,62,105.2,a2c
516,32112,-88.413,41,105.3,a2c
517,32174,172.271,62,105.5,a2c
518,32236,172.532,62,105.7,a2c
519,32298,172.532,62,105.9,a2c
520,32360,172.532,62,106.1,a2c
521,32480,-83.034,120,106.4,a2c
522,32542,183.266,62,106.6,a2c
523,32604,172.532,62,106.8,a2c
524,32666,172.534,62,107.0,a2c
525,32728,172.474,62,107.2,a2c
526,32790,172.474,62,107.4,a2c
527,32852,171.757,62,107.6,a2c
528,32914,171.757,62,107.7,a2c
529,33306,-107.273,392,108.9,a2c
530,33367,172.39,61,109.2,a2c
531,33408,-88.413,41,109.3,a2c
532,33470,172.457,62,109.4,a2c
533,33534,172.268,64,109.6,a2c
534,33597,182.407,63,109.8,a2c
535,33641,-89.029,44,110.0,a2c
536,33702,172.39,61,110.2,a2c
537,33763,172.39,61,110.5,a2c
538,33825,172.534,62,110.7,a2c
539,33954,-94.093,129,111.2,a2c
540,34008,-90.373,54,111.3,a2c
541,34483,-111.423,475,112.8,a2c
542,34546,171.707,63,113.1,a2c
543,34608,171.757,62,113.3,a2c
544,34644,-89.472,36,113.3,a2c
545,34706,183.266,62,113.5,a2c
546,34734,-89.021,28,113.6,a2c
547,34795,183.241,61,113.8,a2c
548,34857,171.757,62,114.0,a2c
549,34884,-89.181,27,114.1,a2c
550,34921,-89.493,37,114.2,a2c
551,34983,171.757,62,114.4,a2c
552,35025,-88.964,42,114.5,a2c
553,35189,-95.873,164,115.0,a2c
554,35250,-90.784,61,115.2,a2c
555,35355,-92.991,105,115.5,a2c
556,35384,-89.123,29,115.6,a2c
557,35493,-93.191,109,115.9,a2c
558,35544,-90.284,51,116.0,a2c
559,35630,-91.973,86,116.3,a2c
560,35666,-78.984,36,116.4,a2c
561,35732,-90.943,66,116.6,a2c
562,35793,172.39,61,116.7,a2c
563,35854,183.241,61,116.9,a2c
564,35915,183.241,61,117.2,a2c
565,35977,183.266,62,117.3,a2c
566,36019,-88.363,42,117.5,a2c
567,36081,171.757,62,117.7,a2c
568,36143,171.757,62,117.8,a2c
569,36167,-89.13,24,117.9,a2c
570,36286,-93.684,119,118.2,a2c
571,36321,-89.422,35,118.4,a2c
572,36382,183.241,61,118.5,a2c
573,36444,183.266,62,118.7,a2c
574,36506,183.266,62,118.9,a2c
575,36535,-89.146,29,119.0,a2c
576,36597,183.266,62,119.2,a2c
577,36658,183.241,61,119.4,a2c
578,36719,183.241,61,119.6,a2c
579,36781,183.285,62,119.8,a2c
580,36843,183.266,62,120.0,a2c
581,36905,183.191,62,120.2,a2c
582,36966,182.882,61,120.4,a2c
583,37027,183.241,61,120.5,a2c
584,37089,171.757,62,120.8,a2c
585,37150,183.241,61,121.0,a2c
586,37211,183.241,61,121.2,a2c
587,37275,171.657,64,121.4,a2c
588,37336,183.241,61,121.6,a2c
589,37398,183.266,62,121.7,a2c
590,37459,183.241,61,122.0,a2c
591,37520,183.241,61,122.2,a2c
592,37582,183.266,62,122.4,a2c
593,37643,183.241,61,122.5,a2c
594,37704,183.241,61,122.7,a2c
595,37765,183.241,61,122.9,a2c
596,37827,183.266,62,123.1,a2c
597,37888,183.241,61,123.3,a2c
598,37949,172.39,61,123.5,a2c
599,38010,183.241,61,123.6,a2c
600,38071,183.241,61,123.8,a2c
601,38113,-77.609,42,124.0,a2c
602,38174,183.241,61,124.2,a2c
603,38235,183.241,61,124.4,a2c
604,38296,183.241,61,124.6,a2c
605,38357,183.241,61,124.8,a2c
606,38418,183.241,61,125.1,a2c
607,38479,183.241,61,125.3,a2c
608,38540,183.241,61,125.4,a2c
609,38601,183.241,61,125.6,a2c
610,38664,183.141,63,125.8,a2c
611,38725,183.241,61,126.0,a2c
612,38786,183.241,61,126.2,a2c
613,38847,183.241,61,126.3,a2c
614,38908,183.241,61,126.5,a2c
615,38969,172.39,61,126.7,a2c
616,39031,183.266,62,126.9,a2c
617,39092,183.241,61,127.1,a2c
618,39153,183.241,61,127.3,a2c
619,39215,183.285,62,127.5,a2c
620,39276,183.241,61,127.7,a2c
621,39337,183.241,61,127.9,a2c
622,39398,183.241,61,128.1,a2c
623,39459,183.241,61,128.2,a2c
624,39520,183.241,61,128.4,a2c
625,39582,183.191,62,128.6,a2c
626,39643,183.241,61,128.8,a2c
627,39704,183.241,61,129.2,a2c
628,39735,-78.912,31,129.3,a2c
629,39797,171.757,62,129.4,a2c
630,39859,172.457,62,129.6,a2c
631,39920,183.241,61,129.8,a2c
632,39961,-77.559,41,129.9,a2c
633,40023,171.757,62,130.1,a2c
634,40084,183.241,61,130.3,a2c
635,40145,183.241,61,130.5,a2c
636,40206,183.241,61,130.6,a2c
637,40267,183.241,61,130.9,a2c
638,40309,-77.609,42,131.1,a2c
639,40370,183.241,61,131.3,a2c
640,40431,183.241,61,131.5,a2c
641,40492,183.241,61,131.7,a2c
642,40553,183.241,61,132.0,a2c
643,40614,183.241,61,132.2,a2c
644,40675,183.241,61,132.4,a2c
645,40736,183.241,61,132.5,a2c
646,40797,183.241,61,132.7,a2c
647,40858,183.241,61,133.0,a2c
648,40919,183.241,61,133.2,a2c
649,40980,183.241,61,133.4,a2c
650,41041,183.241,61,133.6,a2c
651,41102,183.241,61,133.9,a2c
652,41163,183.241,61,134.1,a2c
653,41224,183.241,61,134.3,a2c
654,41285,183.241,61,134.5,a2c
655,41346,183.241,61,134.7,a2c
656,41407,183.241,61,134.9,a2c
657,41468,183.241,61,135.2,a2c
658,41529,183.241,61,135.4,a2c
659,41590,183.241,61,135.6,a2c
660,41631,-77.559,41,135.7,a2c
661,41692,183.241,61,135.9,a2c
662,41753,183.241,61,136.2,a2c
663,41814,183.241,61,136.4,a2c
664,41877,183.241,63,136.6,a2c
665,41938,183.241,61,136.7,a2c
666,41999,183.241,61,137.0,a2c
667,42060,183.241,61,137.2,a2c
668,42123,183.191,63,137.4,a2c
669,42184,183.241,61,137.6,a2c
670,42245,183.241,61,137.9,a2c
671,42306,183.241,61,138.1,a2c
672,42367,183.241,61,138.3,a2c
673,42429,183.285,62,138.5,a2c
674,42490,183.241,61,138.6,a2c
675,42552,183.241,62,138.9,a2c
676,42613,183.241,61,139.2,a2c
677,42674,183.241,61,139.4,a2c
678,42736,183.191,62,139.6,a2c
679,42797,183.241,61,139.8,a2c
680,42859,183.191,62,140.0,a2c
681,42920,183.241,61,140.2,a2c
682,42981,183.241,61,140.4,a2c
683,43044,183.216,63,140.6,a2c
684,43105,183.241,61,140.8,a2c
685,43166,183.241,61,141.1,a2c
686,43227,183.241,61,141.3,a2c
687,43288,183.241,61,141.5,a2c
688,43349,183.241,61,141.7,a2c
689,43410,183.241,61,141.9,a2c
690,43471,183.241,61,142.1,a2c
691,43532,183.241,61,142.3,a2c
692,43593,183.241,61,142.5,a2c
693,43654,183.241,61,142.7,a2c
694,43715,183.241,61,142.9,a2c
695,43776,183.241,61,143.2,a2c
696,43837,183.241,61,143.4,a2c
697,43898,183.241,61,143.6,a2c
698,43959,183.241,61,143.8,a2c
699,44020,183.241,61,144.0,a2c
700,44081,183.241,61,144.2,a2c
701,44143,171.757,62,144.4,a2c
702,44204,183.241,61,144.6,a2c
703,44265,183.241,61,144.8,a2c
704,44326,183.241,61,145.2,a2c
705,44387,183.241,61,145.4,a2c
706,44448,183.241,61,145.6,a2c
707,44509,183.241,61,145.8,a2c
708,44575,183.281,66,146.0,a2c
709,44636,183.241,61,146.2,a2c
710,44697,183.241,61,146.5,a2c
711,44758,183.241,61,146.7,a2c
712,44819,183.241,61,146.9,a2c
713,44880,183.241,61,147.2,a2c
714,44941,183.241,61,147.4,a2c
715,45002,183.241,61,147.6,a2c
716,45063,183.241,61,147.8,a2c
717,45124,183.241,61,148.0,a2c
718,45185,183.241,61,148.2,a2c
719,45246,183.241,61,148.4,a2c
720,45307,183.241,61,148.6,a2c
