episode,timestep,reward,ep_length,elapsed_s,algo
160,58659,-56.376,168,42.0,dqn
161,58792,-47.264,133,42.1,dqn
162,59355,-36.065,563,42.5,dqn
163,59553,223.457,198,42.7,dqn
164,59671,-47.904,118,42.8,dqn
165,59782,-67.986,111,42.9,dqn
166,59951,212.574,169,43.0,dqn
167,60313,-32.468,362,43.2,dqn
168,60510,255.01,197,43.4,dqn
169,60633,203.404,123,43.5,dqn
170,60779,-57.167,146,43.6,dqn
171,60884,-47.032,105,43.7,dqn
172,61010,-47.131,126,43.8,dqn
173,61126,-56.55,116,43.9,dqn
174,61265,-7.43,139,44.0,dqn
175,61382,-47.926,117,44.1,dqn
176,61482,-6.665,100,44.2,dqn
177,61799,208.973,317,44.4,dqn
178,61963,-38.159,164,44.6,dqn
179,62079,-48.578,116,44.7,dqn
180,62251,-47.636,172,44.8,dqn
181,62379,-47.054,128,44.9,dqn
182,62536,-46.942,157,45.0,dqn
183,62672,212.939,136,45.1,dqn
184,62818,213.814,146,45.2,dqn
185,63011,214.066,193,45.4,dqn
186,63133,-46.402,122,45.5,dqn
187,63383,220.952,250,45.7,dqn
188,63487,-47.419,104,45.8,dqn
189,63630,-36.279,143,45.9,dqn
190,63739,-46.816,109,46.0,dqn
191,63842,-47.534,103,46.1,dqn
192,64065,213.284,223,46.3,dqn
193,64257,223.785,192,46.4,dqn
194,64409,-47.571,152,46.5,dqn
195,64530,-47.394,121,46.6,dqn
196,64678,-36.819,148,46.7,dqn
197,64809,-47.17,131,46.8,dqn
198,64917,-46.753,108,46.9,dqn
199,65074,212.811,157,47.0,dqn
200,65261,213.156,187,47.2,dqn
201,65446,-45.001,185,47.3,dqn
202,65561,-36.585,115,47.4,dqn
203,65684,-46.392,123,47.5,dqn
204,66030,-34.09,346,47.8,dqn
205,66136,-46.906,106,47.9,dqn
206,66256,-36.125,120,47.9,dqn
207,66386,-47.317,130,48.1,dqn
208,66512,-6.647,126,48.2,dqn
209,66647,212.442,135,48.3,dqn
210,66933,212.508,286,48.6,dqn
211,67050,212.112,117,48.6,dqn
212,67188,212.528,138,48.8,dqn
213,67316,212.661,128,48.9,dqn
214,67404,-46.939,88,48.9,dqn
215,67516,-47.467,112,49.0,dqn
216,67639,-46.934,123,49.1,dqn
217,67775,211.834,136,49.2,dqn
218,67917,213.311,142,49.3,dqn
219,68072,212.437,155,49.4,dqn
220,68174,-36.703,102,49.5,dqn
221,68279,-48.059,105,49.6,dqn
222,68374,-47.195,95,49.7,dqn
223,68575,222.859,201,49.8,dqn
224,68698,-46.598,123,49.9,dqn
225,68844,223.164,146,50.0,dqn
226,68949,-47.151,105,50.1,dqn
227,69071,-46.956,122,50.2,dqn
228,69177,-47.181,106,50.3,dqn
229,69330,223.867,153,50.4,dqn
230,69506,222.892,176,50.6,dqn
231,69615,-46.951,109,50.7,dqn
232,69698,-47.524,83,50.8,dqn
233,69833,213.177,135,50.9,dqn
234,69918,-47.328,85,50.9,dqn
235,70019,-46.461,101,51.0,dqn
236,70115,-46.681,96,51.1,dqn
237,70346,-40.119,231,51.3,dqn
238,70493,-36.105,147,51.4,dqn
239,70685,-35.563,192,51.5,dqn
240,70840,-38.304,155,51.7,dqn
241,70962,-6.549,122,51.8,dqn
242,71117,212.332,155,51.9,dqn
243,71220,-47.59,103,52.0,dqn
244,71312,-46.781,92,52.0,dqn
245,71428,-36.699,116,52.1,dqn
246,71518,-47.347,90,52.2,dqn
247,71660,213.071,142,52.3,dqn
248,71749,-47.454,89,52.4,dqn
249,71896,212.551,147,52.5,dqn
250,72068,211.478,172,52.7,dqn
251,72198,213.591,130,52.8,dqn
252,72325,-47.217,127,52.9,dqn
253,72523,-38.499,198,53.1,dqn
254,72600,-47.266,77,53.1,dqn
255,72873,-41.147,273,53.3,dqn
256,73001,-36.538,128,53.4,dqn
257,73088,-47.726,87,53.5,dqn
258,73204,-36.669,116,53.6,dqn
259,73445,209.581,241,53.8,dqn
260,73534,-47.233,89,53.9,dqn
261,73715,211.064,181,54.0,dqn
262,73859,-46.636,144,54.1,dqn
263,74027,223.956,168,54.2,dqn
264,74146,212.866,119,54.3,dqn
265,74322,210.256,176,54.5,dqn
266,74491,211.208,169,54.6,dqn
267,74602,212.701,111,54.7,dqn
268,74713,212.353,111,54.8,dqn
269,74823,213.004,110,54.9,dqn
270,74929,-46.645,106,55.0,dqn
271,75066,212.399,137,55.1,dqn
272,75171,-46.486,105,55.2,dqn
273,75288,212.901,117,55.3,dqn
274,75398,-46.826,110,55.4,dqn
275,75527,-35.956,129,55.5,dqn
276,75720,223.406,193,55.6,dqn
277,75807,-47.272,87,55.7,dqn
278,75899,-46.871,92,55.8,dqn
279,76051,212.566,152,55.9,dqn
280,76165,212.335,114,56.0,dqn
281,76342,-37.262,177,56.1,dqn
282,76508,223.878,166,56.3,dqn
283,76740,208.419,232,56.5,dqn
284,76837,-47.601,97,56.6,dqn
285,76942,-46.856,105,56.7,dqn
286,77169,209.503,227,56.9,dqn
287,77265,-47.203,96,57.0,dqn
288,77416,211.398,151,57.1,dqn
289,77566,210.837,150,57.2,dqn
290,77694,212.048,128,57.3,dqn
291,77798,212.502,104,57.4,dqn
292,77936,212.505,138,57.5,dqn
293,78085,210.204,149,57.6,dqn
294,78194,213.136,109,57.7,dqn
295,78310,212.716,116,57.8,dqn
296,79221,199.158,911,58.6,dqn
297,79316,212.402,95,58.6,dqn
298,79422,212.945,106,58.7,dqn
299,79567,224.336,145,58.8,dqn
300,79656,-47.092,89,58.9,dqn
301,79735,-47.903,79,59.0,dqn
302,79859,223.624,124,59.1,dqn
303,80039,253.804,180,59.3,dqn
304,80144,-48.661,105,59.4,dqn
305,80236,212.661,92,59.4,dqn
306,80362,213.018,126,59.6,dqn
307,80500,213.917,138,59.7,dqn
308,80616,-46.624,116,59.8,dqn
309,80782,213.028,166,59.9,dqn
310,81048,223.816,266,60.1,dqn
311,81148,-47.238,100,60.2,dqn
312,81298,213.312,150,60.3,dqn
313,81919,-43.94,621,60.9,dqn
314,82030,-36.515,111,60.9,dqn
315,82197,-48.967,167,61.1,dqn
316,82311,-48.189,114,61.2,dqn
317,82472,-37.417,161,61.3,dqn
318,82835,204.54,363,61.7,dqn
319,82943,212.596,108,61.7,dqn
320,83207,202.961,264,62.0,dqn
321,83315,212.155,108,62.1,dqn
322,83416,212.695,101,62.1,dqn
323,83559,212.376,143,62.3,dqn
324,83771,208.569,212,62.4,dqn
325,83921,210.536,150,62.6,dqn
326,84227,212.369,306,62.8,dqn
327,84348,202.96,121,62.9,dqn
328,84450,212.319,102,63.0,dqn
329,84559,212.976,109,63.1,dqn
330,84657,212.338,98,63.2,dqn
331,84791,211.596,134,63.3,dqn
332,84907,212.746,116,63.4,dqn
333,85110,212.108,203,63.6,dqn
334,85623,213.12,513,64.0,dqn
335,85750,-48.326,127,64.1,dqn
336,85938,211.684,188,64.3,dqn
337,86967,-59.88,1029,65.1,dqn
338,87673,217.011,706,65.7,dqn
339,87964,206.402,291,66.0,dqn
340,88107,212.75,143,66.1,dqn
341,88411,211.79,304,66.4,dqn
342,88534,212.171,123,66.5,dqn
343,88704,212.942,170,66.7,dqn
344,88900,213.771,196,66.8,dqn
345,89011,212.366,111,66.9,dqn
346,89126,212.571,115,67.0,dqn
347,89284,210.999,158,67.2,dqn
348,89395,213.034,111,67.3,dqn
349,89534,213.359,139,67.4,dqn
350,89655,211.954,121,67.5,dqn
351,89794,210.073,139,67.6,dqn
352,89884,212.739,90,67.7,dqn
353,89983,212.294,99,67.8,dqn
354,90177,215.016,194,68.0,dqn
355,90293,213.388,116,68.1,dqn
356,90403,212.878,110,68.2,dqn
357,90642,215.52,239,68.4,dqn
358,90787,212.426,145,68.6,dqn
359,90904,213.046,117,68.7,dqn
360,91009,212.732,105,68.8,dqn
361,91088,-47.16,79,68.8,dqn
362,91300,214.146,212,69.0,dqn
363,91406,212.914,106,69.1,dqn
364,91531,213.081,125,69.2,dqn
365,92232,221.552,701,69.8,dqn
366,92527,215.257,295,70.1,dqn
367,92628,213.144,101,70.2,dqn
368,92738,212.651,110,70.3,dqn
369,92861,212.451,123,70.4,dqn
370,93017,209.259,156,70.6,dqn
371,93203,215.273,186,70.7,dqn
372,93449,-52.893,246,70.9,dqn
373,93557,212.989,108,71.0,dqn
374,93660,213.038,103,71.1,dqn
375,93870,214.917,210,71.3,dqn
376,94279,215.76,409,71.7,dqn
377,94500,214.101,221,71.9,dqn
378,94670,213.683,170,72.0,dqn
379,94808,211.026,138,72.1,dqn
380,94931,212.489,123,72.3,dqn
381,95032,-48.03,101,72.4,dqn
382,95107,-47.541,75,72.4,dqn
383,95309,207.52,202,72.6,dqn
384,95418,212.137,109,72.7,dqn
385,95525,212.009,107,72.8,dqn
386,95637,213.031,112,72.9,dqn
387,95747,212.742,110,73.0,dqn
388,95848,212.712,101,73.1,dqn
389,95978,210.541,130,73.2,dqn
390,96081,212.3,103,73.3,dqn
391,96162,-47.111,81,73.3,dqn
392,96281,212.092,119,73.4,dqn
393,96381,212.362,100,73.5,dqn
394,96956,209.438,575,74.0,dqn
395,97101,213.191,145,74.2,dqn
396,97234,211.08,133,74.3,dqn
397,97347,-47.791,113,74.4,dqn
398,97443,213.048,96,74.5,dqn
399,97548,212.619,105,74.6,dqn
400,97645,212.336,97,74.8,dqn
401,97756,211.157,111,74.9,dqn
402,98016,206.776,260,75.1,dqn
403,98114,213.212,98,75.2,dqn
404,98221,212.86,107,75.3,dqn
405,98330,212.63,109,75.4,dqn
406,98464,202.425,134,75.5,dqn
407,98561,212.694,97,75.6,dqn
408,99761,6.459,1200,76.7,dqn
409,99882,211.736,121,76.8,dqn
410,99974,212.971,92,76.9,dqn
411,100091,212.876,117,77.0,dqn
412,100197,212.506,106,77.1,dqn
413,100317,211.968,120,77.2,dqn
414,100449,211.269,132,77.3,dqn
415,100591,212.364,142,77.4,dqn
416,100681,212.586,90,77.5,dqn
417,100780,213.132,99,77.6,dqn
418,100937,210.931,157,77.7,dqn
419,101029,212.417,92,77.8,dqn
420,101119,-47.029,90,77.9,dqn
421,101213,212.689,94,78.0,dqn
422,101321,212.492,108,78.0,dqn
423,101442,211.583,121,78.1,dqn
424,101580,211.748,138,78.3,dqn
425,101661,-46.971,81,78.4,dqn
426,101765,212.981,104,78.4,dqn
427,101841,-46.739,76,78.5,dqn
428,101947,211.97,106,78.6,dqn
429,102042,212.732,95,78.7,dqn
430,102135,212.512,93,78.8,dqn
431,102208,-47.53,73,78.9,dqn
432,102295,212.731,87,78.9,dqn
433,102386,-47.804,91,79.0,dqn
434,102505,212.367,119,79.1,dqn
435,102547,-78.666,42,79.2,dqn
436,102641,212.568,94,79.3,dqn
437,102738,212.804,97,79.4,dqn
438,102826,212.781,88,79.4,dqn
439,102918,212.624,92,79.5,dqn
440,103009,212.548,91,79.6,dqn
441,103078,-47.644,69,79.6,dqn
442,103301,218.369,223,79.8,dqn
443,103422,211.824,121,79.9,dqn
444,103592,208.941,170,80.1,dqn
445,103689,-47.734,97,80.2,dqn
446,104050,-66.225,361,80.4,dqn
447,104168,212.121,118,80.6,dqn
448,104251,-48.274,83,80.6,dqn
449,104358,212.063,107,80.7,dqn
450,104448,212.499,90,80.8,dqn
451,104537,212.421,89,80.9,dqn
452,104635,212.854,98,81.0,dqn
453,104726,212.597,91,81.1,dqn
454,104841,211.668,115,81.2,dqn
455,104932,212.388,91,81.3,dqn
456,105032,212.776,100,81.4,dqn
457,105131,212.521,99,81.5,dqn
458,105226,212.814,95,81.6,dqn
459,105319,-46.926,93,81.7,dqn
460,105434,212.896,115,81.8,dqn
461,105507,-47.419,73,81.8,dqn
462,105606,212.519,99,81.9,dqn
463,105651,-88.864,45,82.0,dqn
464,105729,-47.178,78,82.0,dqn
465,105823,212.572,94,82.1,dqn
466,105911,212.619,88,82.2,dqn
467,106000,-47.142,89,82.3,dqn
468,106132,213.221,132,82.4,dqn
469,106225,212.569,93,82.5,dqn
470,106317,-46.919,92,82.6,dqn
471,106407,212.764,90,82.6,dqn
472,106484,-46.892,77,82.7,dqn
473,106576,212.767,92,82.8,dqn
474,106645,-47.098,69,82.8,dqn
475,106733,212.619,88,82.9,dqn
476,106823,212.718,90,83.0,dqn
477,106917,212.725,94,83.1,dqn
478,107011,212.925,94,83.3,dqn
479,107130,213.082,119,83.4,dqn
480,107218,-47.063,88,83.5,dqn
